hour,day_of_week,temperature,solar_output,current_load,next_hour_load
6,0,37.00266668016012,0.4059729541016216,10.922139062477926,10.06561294979822
19,1,20.349043271019884,4.4486948811521,8.440020210234653,8.61827803654943
14,5,39.30105235441559,2.8915332472386455,18.04100948476354,19.22519700969194
10,6,18.569621253489117,4.753122346351583,6.496920295139319,7.01682267501854
7,1,17.528129704541456,0.7407060886118783,11.251754516032872,10.776326595052115
20,3,17.805288481181822,4.967824996766576,11.591607796260385,11.176689834571985
6,4,29.328198081814115,3.221364329848384,10.757272130990263,9.89857644779581
18,2,34.52436001795131,2.837470997405314,12.539666190645613,13.227867622018868
22,2,24.166679446865828,2.5763981205604267,6.151293848792075,5.875334837696724
10,3,39.447399694653164,0.11827186549156377,20.0,19.92371787825372
10,1,25.860503452958238,4.69819595774789,8.592635491707755,9.329707131946202
23,2,18.761213769330407,3.2199723642709914,8.753913848498527,9.195488803398655
20,1,26.64916870465342,0.45813242249645614,7.986042575583356,7.271671735047266
3,5,31.975929135560996,0.10476085147262448,8.571611223731834,7.728429704037336
7,3,35.80564451260947,0.25391819618375666,17.664281997218993,18.67965292741646
23,6,26.46920724891482,3.0469788171612033,3.0,3.031500142187217
2,1,29.840170651229187,3.070077074472926,8.271054552913933,8.635534136858528
21,5,21.683617803971334,2.4983364589072057,6.826198020154323,6.3576687060154295
20,1,31.14791316013785,1.5338291032647577,7.900495421178935,8.488367888209405
1,1,39.64929859875859,2.6587136580732067,15.213409592139017,16.04505056364098
23,2,16.226339314694847,2.5815091043812894,11.3120596949324,12.196298320310069
11,0,37.163266767629196,0.09707779938282812,13.408849072198734,12.98270534327331
5,4,29.05706256918807,1.4123461516374902,8.120380891819329,7.756109042548074
1,1,21.302466489057498,0.2659267073357474,5.644197787505879,5.251058460258033
20,1,38.87224275023145,4.500773757238277,15.17489407193104,16.48020358186115
0,1,27.083857576472475,3.626115813925677,4.68531672524371,4.382485217707554
11,0,23.29225629183464,4.980575850964561,5.468572407637732,5.052214153280039
21,5,19.53744070677103,1.5108563165264393,5.883600175296037,5.521968466600505
11,6,21.11130525641655,4.392429238784551,5.826316350346746,6.142547508708303
16,6,35.82122603978607,3.0152713396624087,10.127961530330497,10.916988951699633
9,3,30.360250232929147,2.2656270345180247,13.467266528349098,14.304697405526623
15,2,37.831140487207904,1.1128655564431755,20.0,20.25295421148514
14,0,20.799211303944645,3.691960826430714,7.62568405789353,8.378925109413604
14,5,18.02846434622254,4.5207037445215,10.921988057318023,9.98019390560527
18,1,15.15218827438975,1.1765419903768537,11.655446522979396,12.511403115886003
11,5,27.696550940399845,0.8769516748680628,7.990894198263916,7.875368021654647
22,0,39.95767325954971,3.481109575024335,15.382340306510034,15.244275645636153
